Personnel Number (P);Days not recorded 2015;Excess 2015
655;0;27.50
746;0;152.00
1973;0;42.00
1933;1;87.50
1425;0;58.75
1904;0;3.25
2287;0;3.50
1085;2;97.50
1209;0;54.75
1686;0;54.50
922;0;0.00
1494;0;0.00
1760;0;0.00
1894;0;0.00
1983;0;0.00
885;0;324.00
1979;0;118.00
478;0;96.75
581;0;84.00
654;0;42.75
814;0;110.50
935;0;61.00
1059;0;95.00
1066;0;166.50
1096;16;127.00
1162;0;-1.25
1191;0;82.00
1272;0;67.00
1356;0;93.00
1489;0;20.50
1576;0;-3.75
1599;0;21.50
1643;4;30.50
1685;0;23.50
1730;0;67.50
1889;0;3.50
2016;0;18.00
2059;2;71.00
2085;0;5.00
2113;12;189.00
2172;0;0.00
2261;0;2.25
875;0;47.25
1117;0;227.50
1275;0;267.50
1295;0;36.00
1345;0;10.00
1476;0;0.00
1500;0;0.00
1502;0;66.75
1507;0;28.50
1545;0;40.00
1615;0;622.50
1631;0;66.50
1641;0;-11.50
1653;12;27.00
1677;0;85.50
1712;21;240.00
1900;0;50.25
2000;0;-10.50
2030;0;6.00
2174;0;0.00
2177;0;166.50
2190;2;311.50
2233;0;26.50
2236;0;24.00
2259;0;41.75
2260;0;5.75
706;2;448.50
867;0;114.75
1040;0;169.50
1126;0;424.50
1156;0;31.50
1274;0;56.00
1312;0;14.50
1325;0;69.75
1347;0;44.00
1439;0;148.50
1486;0;78.75
1526;0;291.00
1529;0;90.50
1612;0;95.50
1617;0;854.25
1717;0;427.00
1942;0;204.50
1950;0;202.50
2043;3;320.25
2112;0;179.25
2191;0;32.50
2217;16;56.00
2237;0;105.00
2263;0;7.50
1578;0;63.75
2012;0;359.00
2240;4;36.50
2253;1;32.50
2044;2;683.50
2143;3;165.75
2264;0;-4.50
742;0;364.00
1639;0;399.00
2048;0;388.00
1089;0;541.00
1133;0;799.00
1655;0;514.50
1794;0;318.00
2222;12;59.50
2244;0;77.50
2265;0;13.25
1106;0;426.00
887;0;245.25
1105;0;70.50
1590;0;431.25
1632;0;180.00
1779;0;2.00
2144;6;105.50
2147;0;350.50
858;0;289.00
896;0;1013.25
1353;0;163.00
1623;0;594.00
2035;0;610.50
2219;0;59.00
658;0;8.00
789;6;1048.00
1054;3;96.75
1194;0;47.50
1236;16;157.00
1241;0;209.50
1620;0;468.75
1796;0;152.00
902;2;489.50
970;0;499.00
1038;0;28.50
1075;3;121.50
1081;0;165.00
1621;6;159.00
1805;0;493.00
1909;0;392.50
543;0;170.25
745;1;266.25
862;0;21.00
1073;0;46.25
1102;0;-8.00
1168;0;231.75
1468;0;100.50
2040;2;36.00
2245;0;-3.00
1074;0;63.75
1471;6;437.25
630;0;69.75
764;0;94.50
1182;3;162.75
1420;4;1003.00
2138;0;102.75
958;0;0.00
1047;0;0.00
1184;0;0.00
933;0;352.25
1297;0;76.50
1546;0;246.00
1090;0;81.25
1099;0;83.50
1296;0;20.00
1340;0;201.00
1445;0;145.50
1556;0;15.75
1634;0;95.00
1646;0;302.25
1681;0;16.25
1755;0;122.25
1991;0;55.50
2183;0;91.50
2216;0;164.50
2220;0;72.00
1006;2;79.00
1053;0;67.00
1058;26;134.50
1160;3;636.00
1485;0;40.00
1672;0;4.00
1692;10;38.25
1722;0;27.25
1887;0;14.50
1929;0;10.75
1936;0;24.50
2075;0;248.50
2161;0;15.00
2164;0;37.00
2176;0;20.25
2229;2;32.00
2232;0;34.75
2258;0;6.50
2268;63;0.00
580;3;279.00
621;0;7.50
920;0;36.50
975;0;107.25
1064;0;66.50
1520;0;10.00
1610;0;18.75
1668;0;17.50
1670;3;9.00
1674;0;104.00
1736;0;23.50
1792;0;18.00
1869;0;66.50
2055;0;-0.25
2057;0;9.75
2058;0;1.25
2103;12;143.50
2167;0;33.75
2169;0;6.00
2199;0;0.00
2255;0;5.25
1248;0;96.75
1449;1;241.50
1897;11;88.00
2006;2;317.50
822;0;35.50
823;0;1.00
843;0;201.75
1115;0;200.25
1130;0;-21.25
1146;0;-3.00
1208;0;566.00
1279;0;25.50
1438;0;109.50
1469;0;65.25
1747;0;37.50
1912;0;61.50
2094;6;281.25
2104;12;198.50
2186;2;23.00
2243;0;13.00
2256;0;6.25
1147;0;66.25
1243;0;142.75
1273;0;55.25
1305;0;112.50
1418;0;147.00
1444;0;9.50
1512;0;134.50
1566;0;45.00
1569;5;90.50
1572;0;64.25
1585;0;601.50
1595;0;125.00
1671;0;23.00
1682;0;39.00
1687;0;-8.00
1689;0;110.25
1733;0;42.50
1877;0;3.00
1910;3;29.25
2018;0;113.00
2064;0;106.00
2100;12;150.50
2257;0;0.75
2315;0;0.00
1063;38;160.00
577;0;-4.00
640;0;70.00
792;0;69.00
880;0;83.25
1002;0;68.00
1142;0;101.00
1247;0;142.00
1370;0;15.50
1530;0;198.00
1562;0;165.00
1596;0;124.50
1650;0;128.00
1925;0;360.00
2101;0;196.50
2114;3;-12.00
2115;0;298.00
2194;0;221.00
2207;0;1.50
775;0;92.50
1602;0;180.00
2062;0;132.75
865;0;100.00
911;2;2.50
1023;2;174.50
1412;0;54.00
1463;0;0.00
1557;0;9.50
1573;0;45.00
1636;0;7.00
1667;0;65.50
1818;0;278.50
1863;6;48.00
1976;21;209.25
2071;0;65.00
2142;9;78.00
2230;1;73.25
2239;0;0.50
2279;0;3.75
1129;108;238.50
1183;4;131.00
1864;3;522.00
1880;0;220.00
1918;0;488.00
2092;2;341.00
2200;0;31.50
2224;0;126.00
932;0;110.50
1278;2;514.00
1342;0;33.00
1392;0;-60.00
1611;0;41.50
1626;0;114.00
1908;0;79.00
2211;26;52.00
2223;0;52.00
2313;0;-1.00
2321;0;-3.50
663;0;284.50
801;2;341.50
923;0;94.75
1542;0;39.50
2280;0;-0.25
525;7;145.00
812;3;75.50
1022;0;41.25
2210;0;16.00
2252;0;10.25
760;2;126.00
848;0;32.50
856;0;132.50
859;2;18.00
917;1;167.50
1299;0;41.00
1600;0;30.50
2083;0;286.50
2139;12;111.50
2234;0;33.00
2235;1;8.00
2278;0;2.50
724;0;0.00
1139;0;0.00
1244;0;0.00
1934;0;0.00
2022;0;0.00
2302;0;0.00
799;1;211.25
1119;0;127.00
1588;0;201.00
762;0;181.50
927;0;71.75
977;0;86.25
987;0;45.25
1225;0;33.50
1313;0;37.50
1332;0;114.50
1759;0;226.75
1974;0;13.00
2011;0;113.50
2024;4;84.50
2033;0;49.50
2051;0;103.50
2131;3;36.00
2241;0;0.00
2301;0;15.75
732;24;80.00
941;1;51.75
964;0;162.75
1088;0;81.00
1238;0;508.50
1307;0;7.50
1436;10;51.00
1497;0;8.50
1913;0;198.75
1928;0;8.00
2021;0;18.50
2052;0;47.00
2076;8;68.50
2091;0;181.50
2130;8;49.50
2192;0;31.75
2197;0;-4.50
2242;0;0.00
2247;0;17.25
2249;0;2.00
2317;0;-2.50
642;0;23.00
723;12;86.75
800;0;323.00
826;0;53.00
1210;0;21.00
1224;0;57.50
1284;0;-2.25
1306;0;13.00
1401;0;19.50
1509;3;120.00
1538;0;54.75
1555;0;2.50
1625;0;9.00
1633;0;202.50
1808;0;124.00
1886;0;71.00
2005;2;164.50
2046;8;68.25
2087;0;715.50
2129;12;174.00
2300;0;5.00
